p,shots_ip,errors_ip,shots_matching,errors_matching,shots_bposd,errors_bposd,shots_before,errors_before
0.0031622776601683794,11010,593,1000000,142016,100000,5653,1000000,5254
0.0025118864315095794,17500,595,1000000,113554,100000,3769,1000000,3527
0.001995262314968879,26600,596,1000000,89808,100000,2509,1000000,2335
0.001584893192461114,40500,598,1000000,71910,100000,1773,1000000,1584
0.0012589254117941675,62800,597,1000000,57095,100000,1247,1000000,1019
0.001,95400,598,1000000,45259,100000,816,1000000,715
